Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing costs,Defect rates,Transportation modes,Routes,Costs,Inspection results
Fragrances,SKU-000015,197.12,1,372,73328.64,371,8.66,448,2.87,Amazon Logistics,38.86,Supplier D,Dallas,320,63.67,2.25,Road,Route E,288.45,Pass
Haircare,SKU-000016,169.39,1,319,54035.41,616,28.23,435,4.4,Amazon Logistics,76.03,Supplier A,Miami,3288,69.59,0.65,Road,Route C,429.55,Pass
Fragrances,SKU-000017,33.69,0,391,13172.79,505,19.45,472,5.08,USPS,57.32,Supplier E,Los Angeles,1193,131.68,6.26,Road,Route E,155.73,Pass
Accessories,SKU-000018,184.96,1,242,44760.32,993,10.41,216,13.94,DHL,82.6,Supplier D,Chicago,3045,71.97,4.17,Air,Route D,249.11,Fail
Skincare,SKU-000019,175.28,0,274,48026.72,652,8.82,573,4.23,USPS,96.16,Supplier C,Houston,2574,8.07,6.22,Rail,Route E,119.95,Pass
Fragrances,SKU-000020,108.58,0,353,38328.74,839,6.54,72,5.05,Amazon Logistics,80.3,Supplier D,Miami,2715,37.99,2.11,Rail,Route C,318.17,Pass
Haircare,SKU-000021,122.34,0,46,5627.64,662,21.14,499,6.17,FedEx,62.36,Supplier F,Chicago,2112,73.96,3.39,Road,Route A,162.74,Pass
Accessories,SKU-000022,85.81,0,314,26944.34,204,7.34,462,10.29,FedEx,51.87,Supplier H,Boston,2590,66.54,5.62,Sea,Route E,200.23,Pass
Fragrances,SKU-000023,20.4,1,50,1020.0,938,18.26,349,2.66,UPS,8.81,Supplier G,Miami,700,129.75,5.93,Road,Route B,262.06,Pass
Skincare,SKU-000024,73.69,0,26,1915.94,398,8.67,270,14.36,UPS,98.51,Supplier H,Miami,1260,83.61,3.72,Air,Route A,62.05,Pass
Skincare,SKU-000025,162.54,0,353,57376.62,500,20.2,142,13.12,FedEx,41.43,Supplier B,Seattle,4699,105.0,2.8,Sea,Route E,91.37,Pass
Cosmetics,SKU-000026,10.88,1,286,3111.68,925,24.63,406,9.08,Amazon Logistics,19.46,Supplier F,Boston,4413,73.05,2.74,Air,Route B,358.67,Fail
Cosmetics,SKU-000027,73.36,0,316,23181.76,702,23.56,358,10.44,UPS,68.34,Supplier G,San Francisco,2835,68.75,1.75,Sea,Route A,243.04,Pass
Haircare,SKU-000028,85.65,0,68,5824.2,222,23.06,367,1.23,USPS,32.01,Supplier F,San Francisco,2318,69.71,3.25,Sea,Route E,439.16,Pass
Fragrances,SKU-000029,112.11,1,432,48431.52,59,6.44,48,5.75,USPS,60.65,Supplier B,Atlanta,4807,64.58,1.99,Road,Route D,362.6,Pass
Fragrances,SKU-000030,184.77,1,192,35475.84,789,3.56,54,12.14,Amazon Logistics,60.74,Supplier D,Dallas,1252,83.09,6.34,Air,Route B,53.65,Pass
Cosmetics,SKU-000031,75.81,1,50,3790.5,314,21.27,537,2.08,UPS,47.34,Supplier E,Houston,156,41.31,5.69,Sea,Route D,327.52,Pass
Fragrances,SKU-000032,75.92,1,48,3644.16,487,11.68,415,4.95,USPS,84.43,Supplier B,Miami,1304,134.2,3.83,Air,Route C,92.18,Pass
Fragrances,SKU-000033,150.13,1,406,60952.78,809,13.54,313,9.19,UPS,30.17,Supplier B,Miami,4441,53.3,3.26,Road,Route E,401.42,Pass
Skincare,SKU-000034,95.92,1,201,19279.92,296,1.9,368,4.59,UPS,47.62,Supplier G,Atlanta,243,26.39,2.38,Road,Route E,496.18,Pass
Cosmetics,SKU-000035,52.67,1,276,14536.92,716,8.53,166,14.08,USPS,56.08,Supplier C,Dallas,467,19.0,5.35,Road,Route B,289.04,Pass
Accessories,SKU-000036,95.96,0,156,14969.76,595,1.98,86,2.83,FedEx,68.04,Supplier H,Boston,1582,6.95,9.19,Road,Route E,357.25,Pass
Cosmetics,SKU-000037,36.76,1,404,14851.04,548,26.5,539,12.16,USPS,79.48,Supplier D,Miami,715,66.31,6.86,Rail,Route C,156.79,Pass
Accessories,SKU-000038,43.51,1,342,14880.42,178,8.06,141,8.11,Amazon Logistics,42.51,Supplier B,Chicago,3738,32.2,7.44,Sea,Route E,246.92,Pass
Skincare,SKU-000039,104.69,1,136,14237.84,721,17.16,359,11.5,DHL,66.37,Supplier E,New York,3428,8.14,8.34,Rail,Route A,435.24,Pass
Haircare,SKU-000040,89.6,0,55,4928.0,650,2.13,194,5.35,USPS,19.31,Supplier A,Dallas,3327,80.4,3.52,Road,Route D,125.34,Fail
Fragrances,SKU-000041,183.82,0,54,9926.28,654,20.34,470,8.2,UPS,93.6,Supplier D,Miami,1688,103.6,0.63,Sea,Route C,169.49,Pass
Skincare,SKU-000042,78.85,1,10,788.5,376,10.37,576,13.0,UPS,41.39,Supplier C,Dallas,2589,17.43,6.23,Sea,Route C,250.45,Fail
Fragrances,SKU-000043,120.31,1,177,21294.87,802,27.04,155,7.54,USPS,74.3,Supplier F,San Francisco,3103,71.83,1.89,Air,Route D,370.51,Pass
Haircare,SKU-000044,130.13,1,117,15225.21,884,26.76,35,6.04,DHL,6.93,Supplier B,Houston,798,112.83,5.69,Road,Route D,219.15,Fail
Haircare,SKU-000045,12.49,0,28,349.72,453,10.43,352,8.51,USPS,24.49,Supplier E,Miami,2923,147.94,7.4,Rail,Route C,467.48,Pass
Skincare,SKU-000046,136.07,0,341,46399.87,678,27.13,214,11.04,DHL,51.27,Supplier D,Houston,1044,101.74,7.84,Air,Route D,92.51,Pass
Haircare,SKU-000047,43.83,1,81,3550.23,655,29.89,515,7.21,DHL,88.43,Supplier E,Los Angeles,3981,40.5,3.02,Sea,Route B,216.86,Pass
Accessories,SKU-000048,192.6,0,465,89559.0,724,24.94,28,14.14,Amazon Logistics,55.09,Supplier E,New York,1022,108.9,5.12,Rail,Route D,369.03,Pass
Haircare,SKU-000049,38.25,1,454,17365.5,660,25.5,353,5.13,UPS,93.34,Supplier H,Atlanta,1846,91.7,6.21,Road,Route A,151.69,Pass
Fragrances,SKU-000050,88.78,0,118,10476.04,674,8.22,352,7.66,UPS,50.96,Supplier G,Houston,4220,35.71,8.19,Rail,Route A,345.39,Pass
Fragrances,SKU-000051,26.22,0,277,7262.94,408,17.72,346,11.6,DHL,51.59,Supplier F,Miami,2953,128.41,7.61,Rail,Route B,123.9,Pass
Fragrances,SKU-000052,199.41,1,454,90532.14,652,2.95,34,10.65,UPS,16.38,Supplier C,Seattle,1659,66.97,9.88,Rail,Route D,75.19,Pass
Fragrances,SKU-000053,105.42,1,249,26249.58,907,3.75,245,13.09,FedEx,81.25,Supplier H,Atlanta,1183,144.49,0.08,Air,Route A,104.46,Pass
Accessories,SKU-000054,123.12,1,426,52449.12,767,29.97,444,14.96,DHL,28.46,Supplier D,Atlanta,3638,109.82,4.37,Sea,Route E,468.49,Fail
Cosmetics,SKU-000055,22.74,1,310,7049.4,66,10.47,427,6.98,UPS,90.46,Supplier B,Boston,533,98.46,2.56,Rail,Route D,298.29,Fail
Skincare,SKU-000056,152.49,0,99,15096.51,323,22.7,132,2.56,FedEx,91.53,Supplier C,Houston,3026,110.61,1.2,Sea,Route B,408.36,Pass
Fragrances,SKU-000057,49.88,0,112,5586.56,734,24.39,447,1.43,Amazon Logistics,94.61,Supplier B,Seattle,1189,74.32,9.12,Air,Route D,199.69,Fail
Haircare,SKU-000058,180.63,0,485,87605.55,165,25.88,20,11.18,UPS,54.42,Supplier A,Houston,3057,78.26,9.98,Road,Route C,316.7,Pass
Fragrances,SKU-000059,48.98,1,259,12685.82,910,29.93,285,13.24,FedEx,69.32,Supplier E,Boston,2712,128.43,1.81,Road,Route C,272.73,Pass
Haircare,SKU-000060,46.23,0,462,21358.26,742,8.0,510,4.09,USPS,78.96,Supplier A,New York,4291,103.73,0.38,Rail,Route A,475.58,Fail
Haircare,SKU-000061,16.94,1,17,287.98,140,2.17,227,3.22,USPS,17.45,Supplier G,Miami,3859,135.1,2.75,Air,Route C,386.41,Pass
Fragrances,SKU-000062,99.69,0,162,16149.78,131,12.92,388,1.87,FedEx,62.09,Supplier E,San Francisco,4363,134.17,8.35,Road,Route B,378.74,Pass
Accessories,SKU-000063,117.32,1,356,41765.92,373,4.77,325,12.52,DHL,8.26,Supplier F,San Francisco,2189,146.59,2.94,Air,Route A,70.86,Fail
Haircare,SKU-000064,22.48,1,183,4113.84,163,1.65,31,5.36,DHL,52.27,Supplier C,Houston,2002,106.53,0.57,Air,Route B,297.35,Pass
Haircare,SKU-000065,157.35,0,352,55387.2,818,11.45,364,6.62,UPS,19.71,Supplier B,Boston,2667,77.83,0.52,Rail,Route B,260.15,Pass
Fragrances,SKU-000066,96.12,1,167,16052.04,107,23.73,484,8.04,USPS,22.38,Supplier H,Dallas,2098,29.12,4.27,Rail,Route C,467.53,Pass
Haircare,SKU-000067,109.63,1,440,48237.2,203,17.42,513,12.75,DHL,39.68,Supplier G,Miami,3214,107.28,9.32,Air,Route C,165.8,Pass
Haircare,SKU-000068,93.74,0,224,20997.76,926,10.07,387,10.11,DHL,46.08,Supplier F,Houston,3094,47.28,2.86,Air,Route B,171.43,Pass
Fragrances,SKU-000069,86.14,1,186,16022.04,453,19.98,439,9.61,USPS,64.2,Supplier B,Dallas,2110,46.03,4.27,Rail,Route C,235.11,Pass
Fragrances,SKU-000070,116.33,1,184,21404.72,677,7.73,190,3.46,Amazon Logistics,12.07,Supplier C,Miami,4944,39.55,1.02,Air,Route C,159.52,Pass
Skincare,SKU-000071,39.5,1,349,13785.5,904,1.42,153,8.18,DHL,52.85,Supplier D,Dallas,1991,131.89,4.94,Rail,Route C,108.13,Pass
Accessories,SKU-000072,44.57,0,347,15465.79,315,23.17,446,11.02,FedEx,22.35,Supplier G,Atlanta,930,130.85,6.97,Sea,Route D,435.84,Pass
Accessories,SKU-000073,173.74,0,155,26929.7,364,19.09,44,14.63,UPS,59.53,Supplier A,Houston,148,96.49,2.71,Air,Route B,301.22,Pass
Haircare,SKU-000074,189.76,1,459,87099.84,764,23.11,549,3.82,DHL,65.55,Supplier A,Boston,4310,73.58,2.97,Rail,Route E,437.61,Pass
Accessories,SKU-000075,80.93,0,333,26949.69,90,2.13,209,1.13,DHL,57.89,Supplier H,Miami,1278,102.46,8.42,Air,Route B,424.01,Fail
Haircare,SKU-000076,61.44,1,487,29921.28,154,25.28,160,2.05,Amazon Logistics,75.14,Supplier B,San Francisco,3133,93.05,0.1,Rail,Route A,176.92,Pass
Skincare,SKU-000077,132.36,1,170,22501.2,950,18.97,574,6.26,FedEx,36.88,Supplier B,Houston,170,65.28,6.36,Air,Route C,296.48,Pass
Fragrances,SKU-000078,87.66,1,136,11921.76,939,17.34,334,12.49,UPS,77.69,Supplier B,Miami,166,60.05,3.94,Road,Route C,87.45,Fail
Fragrances,SKU-000079,14.82,1,429,6357.78,242,19.11,463,1.1,DHL,46.11,Supplier G,Miami,1877,60.51,2.98,Road,Route E,461.86,Fail
Fragrances,SKU-000080,39.67,1,91,3609.97,450,26.07,338,7.39,UPS,51.0,Supplier C,Dallas,2328,90.42,6.58,Air,Route A,231.92,Pass
Accessories,SKU-000081,146.03,0,494,72138.82,327,18.02,460,5.61,USPS,66.57,Supplier D,Dallas,1889,98.91,8.35,Road,Route D,227.15,Fail
Skincare,SKU-000082,135.2,1,156,21091.2,403,17.85,111,1.73,DHL,6.74,Supplier A,Seattle,712,70.5,5.58,Air,Route B,186.24,Pass
Accessories,SKU-000083,15.15,0,248,3757.2,798,29.73,198,7.3,DHL,67.13,Supplier F,Houston,1986,145.46,0.31,Air,Route D,257.3,Pass
Accessories,SKU-000084,52.17,0,421,21963.57,986,22.95,75,4.57,USPS,63.77,Supplier E,Los Angeles,1722,17.16,4.61,Sea,Route A,163.29,Pass
Skincare,SKU-000085,53.9,1,433,23338.7,782,13.83,174,5.93,Amazon Logistics,34.44,Supplier G,Chicago,796,55.32,4.63,Sea,Route E,218.68,Pass
Skincare,SKU-000086,137.66,1,93,12802.38,629,21.51,130,10.88,DHL,13.15,Supplier G,Los Angeles,1337,65.77,5.44,Road,Route A,409.98,Pass
Skincare,SKU-000087,13.75,0,122,1677.5,758,12.29,156,8.3,UPS,13.64,Supplier C,Miami,2506,7.45,6.71,Sea,Route E,425.41,Pass
Skincare,SKU-000088,29.78,0,234,6968.52,305,7.64,251,2.75,FedEx,92.71,Supplier A,Seattle,348,57.92,0.19,Sea,Route D,186.88,Pass
Fragrances,SKU-000089,161.98,0,341,55235.18,700,18.31,487,14.46,UPS,70.48,Supplier H,Miami,737,44.69,5.02,Air,Route D,261.06,Pass
Cosmetics,SKU-000090,43.92,1,387,16997.04,873,27.92,500,9.9,Amazon Logistics,17.07,Supplier D,Los Angeles,1049,78.38,5.88,Rail,Route A,443.22,Pass
Cosmetics,SKU-000091,134.02,0,252,33773.04,996,27.95,87,11.72,FedEx,38.89,Supplier C,Miami,2004,53.78,3.43,Air,Route A,73.7,Pass
Skincare,SKU-000092,55.25,1,152,8398.0,710,10.92,268,2.11,UPS,61.29,Supplier F,Dallas,3687,110.3,6.68,Sea,Route C,450.12,Fail
Cosmetics,SKU-000093,28.89,1,50,1444.5,148,16.3,342,1.66,UPS,84.38,Supplier A,Houston,1211,78.94,2.28,Air,Route E,148.63,Fail
Cosmetics,SKU-000094,56.2,1,432,24278.4,637,7.14,537,1.27,USPS,9.15,Supplier C,San Francisco,275,23.82,3.17,Road,Route C,355.34,Fail
Skincare,SKU-000095,147.23,0,267,39310.41,331,29.87,451,3.64,Amazon Logistics,27.48,Supplier A,Los Angeles,822,113.76,9.63,Rail,Route B,312.15,Fail
Cosmetics,SKU-000096,172.58,1,456,78696.48,932,29.45,506,6.8,USPS,89.53,Supplier A,Chicago,3942,19.39,3.48,Sea,Route B,298.82,Fail
Accessories,SKU-000097,167.74,1,294,49315.56,452,19.84,448,14.1,FedEx,5.87,Supplier H,Chicago,3774,126.66,3.47,Sea,Route A,436.71,Pass
Haircare,SKU-000098,85.46,1,114,9742.44,158,24.33,288,7.4,USPS,24.13,Supplier G,Dallas,4966,140.06,5.96,Air,Route D,95.71,Pass
Haircare,SKU-000099,136.94,1,211,28894.34,749,21.74,556,5.06,Amazon Logistics,96.11,Supplier D,Houston,2047,51.75,9.71,Air,Route B,206.16,Fail
Skincare,SKU-000100,48.95,1,459,22468.05,248,18.2,167,8.87,DHL,63.27,Supplier G,New York,802,139.29,9.83,Air,Route B,292.21,Pass
Fragrances,SKU-000101,65.7,0,316,20761.2,352,2.55,137,2.57,DHL,29.86,Supplier E,New York,2228,119.99,5.8,Air,Route C,415.08,Pass
Skincare,SKU-000102,180.3,1,340,61302.0,376,14.19,386,9.53,FedEx,11.36,Supplier D,Boston,1026,138.75,0.01,Sea,Route C,147.4,Pass
Fragrances,SKU-000103,12.47,1,470,5860.9,203,20.57,85,8.96,DHL,7.68,Supplier A,Boston,4333,101.61,9.01,Air,Route B,411.32,Pass
Haircare,SKU-000104,26.25,0,275,7218.75,601,20.65,389,12.09,USPS,28.25,Supplier C,Los Angeles,3604,39.17,5.7,Sea,Route A,229.84,Pass
Skincare,SKU-000105,49.5,1,407,20146.5,694,11.82,194,14.81,FedEx,88.74,Supplier F,Dallas,2617,134.71,3.66,Air,Route C,135.01,Pass
Accessories,SKU-000106,15.04,0,219,3293.76,454,28.31,514,4.51,Amazon Logistics,44.51,Supplier H,Dallas,2497,31.72,8.29,Rail,Route B,391.54,Pass
Cosmetics,SKU-000107,44.47,1,60,2668.2,511,5.85,133,8.14,FedEx,73.43,Supplier D,Miami,1249,35.89,4.0,Rail,Route D,90.9,Fail
Fragrances,SKU-000108,120.78,0,127,15339.06,181,15.51,130,13.72,FedEx,92.24,Supplier E,Chicago,3480,44.3,0.34,Air,Route C,281.65,Pass
Cosmetics,SKU-000109,90.07,0,210,18914.7,840,21.04,458,11.99,UPS,43.76,Supplier A,Chicago,1978,49.12,8.21,Air,Route B,78.74,Pass
Cosmetics,SKU-000110,179.61,1,386,69329.46,923,21.22,166,7.82,UPS,23.17,Supplier F,Chicago,1353,79.6,5.46,Road,Route E,210.39,Pass
Skincare,SKU-000111,165.31,1,48,7934.88,133,19.81,54,14.24,FedEx,54.13,Supplier D,Seattle,1583,108.45,3.38,Rail,Route C,320.48,Pass
Cosmetics,SKU-000112,74.95,1,37,2773.15,448,8.98,328,1.8,DHL,91.27,Supplier G,Houston,409,139.3,2.51,Sea,Route E,300.25,Fail
Accessories,SKU-000113,59.29,0,268,15889.72,803,5.53,557,14.03,UPS,81.42,Supplier G,Atlanta,4052,17.82,5.94,Rail,Route C,232.09,Pass
Cosmetics,SKU-000114,82.14,0,93,7639.02,677,19.44,33,1.71,Amazon Logistics,11.25,Supplier D,Miami,3149,143.38,2.08,Sea,Route C,243.07,Pass
Skincare,SKU-000115,122.16,0,463,56560.08,158,18.38,393,8.66,USPS,70.79,Supplier D,New York,1664,138.59,3.24,Air,Route E,152.05,Pass
Accessories,SKU-000116,60.93,1,164,9992.52,270,6.2,576,13.47,UPS,59.33,Supplier D,Dallas,1600,12.83,6.37,Rail,Route A,255.15,Pass
Haircare,SKU-000117,128.59,0,126,16202.34,953,21.45,447,4.68,FedEx,91.21,Supplier F,New York,4965,57.25,8.82,Rail,Route B,478.96,Pass
Cosmetics,SKU-000118,87.79,0,11,965.69,602,14.2,252,7.61,DHL,16.64,Supplier G,Seattle,115,122.91,5.33,Road,Route A,432.7,Pass
Skincare,SKU-000119,114.89,1,102,11718.78,417,20.37,582,5.54,USPS,55.73,Supplier C,New York,705,93.68,7.59,Road,Route A,115.35,Pass
Haircare,SKU-000120,92.86,0,175,16250.5,196,25.28,459,14.33,UPS,88.55,Supplier E,Chicago,1481,117.97,7.63,Rail,Route B,63.4,Pass
Haircare,SKU-000121,65.95,0,396,26116.2,161,5.92,521,12.53,DHL,43.95,Supplier E,San Francisco,3483,109.26,6.64,Rail,Route D,470.09,Pass
Fragrances,SKU-000122,190.21,1,409,77795.89,664,1.56,294,10.93,DHL,50.79,Supplier H,Miami,994,77.03,2.46,Rail,Route A,287.04,Pass
Accessories,SKU-000123,155.09,0,359,55677.31,607,23.59,95,9.23,DHL,11.69,Supplier A,San Francisco,1667,10.98,8.67,Sea,Route A,292.03,Pass
Cosmetics,SKU-000124,36.62,1,305,11169.1,973,18.68,458,12.49,FedEx,31.42,Supplier B,Boston,513,89.72,4.36,Air,Route A,401.32,Fail
Skincare,SKU-000125,175.01,1,267,46727.67,543,21.29,308,6.49,Amazon Logistics,35.83,Supplier C,San Francisco,4220,12.04,0.44,Road,Route D,191.61,Pass
Fragrances,SKU-000126,102.61,1,90,9234.9,554,25.31,559,7.27,DHL,94.79,Supplier G,Atlanta,2104,92.54,2.45,Air,Route C,266.86,Fail
Accessories,SKU-000127,179.96,1,434,78102.64,524,24.28,272,11.22,USPS,31.85,Supplier A,Dallas,415,121.06,7.66,Road,Route E,485.9,Pass
Fragrances,SKU-000128,161.97,1,277,44865.69,885,28.87,145,6.01,UPS,48.78,Supplier H,Seattle,4766,89.82,0.69,Road,Route E,352.47,Fail
Accessories,SKU-000129,90.79,0,428,38858.12,939,16.54,196,1.89,USPS,68.77,Supplier A,Dallas,4920,149.57,1.47,Road,Route D,119.19,Pass
Accessories,SKU-000130,14.27,0,244,3481.88,320,15.17,56,2.04,FedEx,20.41,Supplier D,Atlanta,3155,71.1,6.94,Rail,Route A,109.95,Pass
Cosmetics,SKU-000131,61.05,1,330,20146.5,470,12.65,429,2.62,FedEx,51.21,Supplier B,Dallas,1949,113.58,8.93,Road,Route E,141.92,Pass
Accessories,SKU-000132,112.91,1,320,36131.2,946,5.46,146,13.18,USPS,75.16,Supplier G,San Francisco,2053,101.75,6.34,Air,Route D,395.02,Fail
Fragrances,SKU-000133,130.36,0,310,40411.6,756,17.61,502,7.61,Amazon Logistics,87.35,Supplier B,Houston,488,148.76,2.22,Road,Route B,182.92,Pass
Accessories,SKU-000134,59.0,1,472,27848.0,416,9.03,187,10.98,FedEx,64.49,Supplier C,Dallas,2869,108.42,0.53,Air,Route E,59.62,Fail
Cosmetics,SKU-000135,36.48,1,483,17619.84,329,27.72,313,6.5,FedEx,68.56,Supplier B,Boston,4639,28.78,6.15,Road,Route B,474.88,Fail
Cosmetics,SKU-000136,168.64,1,366,61722.24,332,17.91,362,4.62,USPS,17.0,Supplier A,Miami,3146,143.55,0.47,Road,Route A,126.37,Pass
Fragrances,SKU-000137,197.04,0,222,43742.88,89,18.19,329,5.86,FedEx,94.85,Supplier B,Miami,2515,101.83,6.13,Rail,Route E,54.3,Pass
Haircare,SKU-000138,109.88,0,71,7801.48,238,11.29,547,12.12,Amazon Logistics,17.59,Supplier B,New York,2489,13.6,2.26,Air,Route D,156.71,Pass
Haircare,SKU-000139,42.62,1,58,2471.96,213,2.51,559,9.75,Amazon Logistics,78.59,Supplier E,Los Angeles,403,100.35,9.05,Road,Route C,155.76,Pass
Accessories,SKU-000140,61.74,1,136,8396.64,585,1.92,438,14.13,Amazon Logistics,30.16,Supplier G,San Francisco,863,133.05,4.75,Road,Route E,239.9,Fail
Skincare,SKU-000141,13.49,0,232,3129.68,585,13.28,463,10.52,UPS,93.69,Supplier G,Chicago,2073,88.67,2.24,Air,Route E,464.18,Pass
Accessories,SKU-000142,183.72,0,418,76794.96,53,3.45,577,8.98,Amazon Logistics,73.4,Supplier A,Atlanta,915,56.33,8.53,Road,Route E,445.63,Fail
Fragrances,SKU-000143,32.37,1,288,9322.56,884,18.6,255,9.54,Amazon Logistics,76.61,Supplier F,Seattle,977,124.03,2.54,Sea,Route E,255.6,Pass
Fragrances,SKU-000144,119.54,1,417,49848.18,339,26.55,458,14.19,UPS,25.81,Supplier B,San Francisco,4898,118.46,3.07,Rail,Route D,234.9,Pass
Fragrances,SKU-000145,62.07,0,303,18807.21,482,26.6,233,12.03,DHL,47.09,Supplier B,Miami,2426,83.91,8.34,Air,Route D,299.75,Pass
Fragrances,SKU-000146,115.29,0,293,33779.97,520,20.11,104,1.34,FedEx,63.69,Supplier D,New York,2529,27.38,3.09,Rail,Route C,159.55,Pass
Fragrances,SKU-000147,133.77,0,286,38258.22,230,7.13,104,8.48,Amazon Logistics,78.15,Supplier G,Dallas,2160,41.39,4.1,Sea,Route D,73.48,Pass
Cosmetics,SKU-000148,167.65,1,447,74939.55,297,26.03,508,10.64,FedEx,14.88,Supplier B,Chicago,4498,112.08,3.48,Sea,Route D,472.65,Fail
Haircare,SKU-000149,49.22,0,116,5709.52,677,26.7,84,11.48,USPS,96.42,Supplier G,Chicago,1679,121.88,1.16,Sea,Route A,134.01,Pass
Fragrances,SKU-000150,12.09,1,155,1873.95,328,6.7,83,3.98,FedEx,89.57,Supplier B,Los Angeles,4355,45.49,0.39,Air,Route A,139.28,Pass
Skincare,SKU-000151,36.01,0,429,15448.29,926,22.39,362,13.14,UPS,30.68,Supplier E,Houston,2301,58.36,7.25,Sea,Route B,262.61,Pass
Skincare,SKU-000152,181.0,0,108,19548.0,630,9.31,371,14.38,FedEx,83.16,Supplier A,Los Angeles,3697,16.26,6.45,Air,Route C,271.23,Fail
Skincare,SKU-000153,176.04,0,438,77105.52,912,24.28,177,4.31,FedEx,54.24,Supplier G,Dallas,1303,108.45,2.82,Air,Route A,58.3,Pass
Skincare,SKU-000154,123.51,0,384,47427.84,303,29.92,510,13.36,FedEx,48.87,Supplier C,San Francisco,2524,5.52,2.96,Road,Route C,116.58,Pass
Cosmetics,SKU-000155,124.1,1,82,10176.2,230,1.87,482,2.36,DHL,34.87,Supplier A,Boston,3975,11.75,9.45,Air,Route C,220.17,Pass
Skincare,SKU-000156,136.36,1,446,60816.56,879,27.02,244,1.78,DHL,60.19,Supplier D,Atlanta,2923,5.63,9.88,Sea,Route E,357.68,Pass
Fragrances,SKU-000157,43.32,0,495,21443.4,730,19.06,332,2.81,USPS,74.34,Supplier A,Chicago,3385,98.57,4.73,Air,Route C,152.79,Fail
Accessories,SKU-000158,183.74,1,131,24069.94,874,29.23,485,1.81,UPS,44.04,Supplier B,Seattle,2163,65.52,8.02,Air,Route E,240.36,Pass
Skincare,SKU-000159,89.57,0,39,3493.23,558,14.49,107,12.83,FedEx,64.78,Supplier D,San Francisco,2079,48.14,7.37,Rail,Route B,300.81,Pass
Cosmetics,SKU-000160,82.8,0,197,16311.6,810,25.57,322,1.83,FedEx,71.43,Supplier A,Seattle,4448,137.34,2.97,Sea,Route B,449.87,Pass
Cosmetics,SKU-000161,108.59,0,373,40504.07,749,2.81,454,4.8,FedEx,72.56,Supplier H,New York,3231,32.96,0.59,Air,Route B,196.73,Fail
Skincare,SKU-000162,18.92,0,363,6867.96,615,10.72,154,2.45,FedEx,9.94,Supplier D,Seattle,3192,61.46,1.43,Road,Route E,110.1,Pass
Accessories,SKU-000163,41.59,1,297,12352.23,375,2.94,69,5.14,DHL,86.68,Supplier H,Chicago,4926,141.35,8.38,Air,Route E,270.17,Pass
Skincare,SKU-000164,150.23,0,460,69105.8,406,29.28,451,2.27,USPS,48.53,Supplier C,Chicago,3764,66.93,7.31,Air,Route B,386.02,Fail
