Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing costs,Defect rates,Transportation modes,Routes,Costs,Inspection results,Profit,Cost_per_Shipment,Inventory_Gap,Revenue_per_Product,Profit_Margin,Total_Lead_Time
Accessories,SKU-000013,95.66,1,327,31280.82,813,8.89,452,9.3,USPS,27.93,Supplier A,Boston,3811,9.88,3.5,Road,Route C,346.0,Pass,31270.94,0.06165562913907285,361,95.36835365853659,99.96841515024222,18.19
Haircare,SKU-000014,31.52,0,115,3624.8,921,21.08,284,7.85,UPS,12.46,Supplier F,Miami,284,102.79,5.8,Road,Route C,311.51,Pass,3522.01,0.04371929824561404,637,31.24827586206897,97.16425733833591,28.93
Fragrances,SKU-000015,197.12,1,372,73328.64,371,8.66,448,2.87,Amazon Logistics,38.86,Supplier D,Dallas,320,63.67,2.25,Road,Route E,288.45,Pass,73264.97,0.08654788418708241,-77,196.59152815013405,99.91317171571708,11.530000000000001
Haircare,SKU-000016,169.39,1,319,54035.41,616,28.23,435,4.4,Amazon Logistics,76.03,Supplier A,Miami,3288,69.59,0.65,Road,Route C,429.55,Pass,53965.82000000001,0.17438073394495412,181,168.86065625,99.87121407980433,32.63
Fragrances,SKU-000017,33.69,0,391,13172.79,505,19.45,472,5.08,USPS,57.32,Supplier E,Los Angeles,1193,131.68,6.26,Road,Route E,155.73,Pass,13041.11,0.12118393234672305,33,33.60405612244898,99.00036362835816,24.53
Accessories,SKU-000018,184.96,1,242,44760.32,993,10.41,216,13.94,DHL,82.6,Supplier D,Chicago,3045,71.97,4.17,Air,Route D,249.11,Fail,44688.35,0.38064516129032255,777,184.1988477366255,99.83921026480597,24.35
Skincare,SKU-000019,175.28,0,274,48026.72,652,8.82,573,4.23,USPS,96.16,Supplier C,Houston,2574,8.07,6.22,Rail,Route E,119.95,Pass,48018.65,0.16752613240418118,79,174.6426181818182,99.98319685375141,13.05
Fragrances,SKU-000020,108.58,0,353,38328.74,839,6.54,72,5.05,Amazon Logistics,80.3,Supplier D,Miami,2715,37.99,2.11,Rail,Route C,318.17,Pass,38290.75,1.0999999999999999,767,108.27327683615819,99.90088377546458,11.59
Haircare,SKU-000021,122.34,0,46,5627.64,662,21.14,499,6.17,FedEx,62.36,Supplier F,Chicago,2112,73.96,3.39,Road,Route A,162.74,Pass,5553.68,0.12472,163,119.73702127659575,98.6857723663916,27.310000000000002
Accessories,SKU-000022,85.81,0,314,26944.34,204,7.34,462,10.29,FedEx,51.87,Supplier H,Boston,2590,66.54,5.62,Sea,Route E,200.23,Pass,26877.8,0.11203023758099352,-258,85.53758730158731,99.75304646541723,17.63
Fragrances,SKU-000023,20.4,1,50,1020.0,938,18.26,349,2.66,UPS,8.81,Supplier G,Miami,700,129.75,5.93,Road,Route B,262.06,Pass,890.25,0.025171428571428574,589,20.0,87.27941176470588,20.92
Skincare,SKU-000024,73.69,0,26,1915.94,398,8.67,270,14.36,UPS,98.51,Supplier H,Miami,1260,83.61,3.72,Air,Route A,62.05,Pass,1832.3300000000002,0.36350553505535055,128,70.96074074074075,95.63608463730597,23.03
Skincare,SKU-000025,162.54,0,353,57376.62,500,20.2,142,13.12,FedEx,41.43,Supplier B,Seattle,4699,105.0,2.8,Sea,Route E,91.37,Pass,57271.62,0.2897202797202797,358,162.08084745762713,99.81699863114976,33.32
Cosmetics,SKU-000026,10.88,1,286,3111.68,925,24.63,406,9.08,Amazon Logistics,19.46,Supplier F,Boston,4413,73.05,2.74,Air,Route B,358.67,Fail,3038.6299999999997,0.047813267813267814,519,10.842090592334495,97.65239356232003,33.71
Cosmetics,SKU-000027,73.36,0,316,23181.76,702,23.56,358,10.44,UPS,68.34,Supplier G,San Francisco,2835,68.75,1.75,Sea,Route A,243.04,Pass,23113.01,0.19036211699164346,344,73.12858044164037,99.70343062821804,34.0
Haircare,SKU-000028,85.65,0,68,5824.2,222,23.06,367,1.23,USPS,32.01,Supplier F,San Francisco,2318,69.71,3.25,Sea,Route E,439.16,Pass,5754.49,0.08698369565217391,-145,84.4086956521739,98.80309742110505,24.29
Fragrances,SKU-000029,112.11,1,432,48431.52,59,6.44,48,5.75,USPS,60.65,Supplier B,Atlanta,4807,64.58,1.99,Road,Route D,362.6,Pass,48366.939999999995,1.2377551020408164,11,111.85108545034642,99.86665708612902,12.190000000000001
Fragrances,SKU-000030,184.77,1,192,35475.84,789,3.56,54,12.14,Amazon Logistics,60.74,Supplier D,Dallas,1252,83.09,6.34,Air,Route B,53.65,Pass,35392.75,1.1043636363636364,735,183.81264248704662,99.76578426331837,15.700000000000001
Cosmetics,SKU-000031,75.81,1,50,3790.5,314,21.27,537,2.08,UPS,47.34,Supplier E,Houston,156,41.31,5.69,Sea,Route D,327.52,Pass,3749.19,0.08799256505576208,-223,74.32352941176471,98.91017016224772,23.35
Fragrances,SKU-000032,75.92,1,48,3644.16,487,11.68,415,4.95,USPS,84.43,Supplier B,Miami,1304,134.2,3.83,Air,Route C,92.18,Pass,3509.96,0.2029567307692308,72,74.37061224489796,96.31739550403935,16.63
Fragrances,SKU-000033,150.13,1,406,60952.78,809,13.54,313,9.19,UPS,30.17,Supplier B,Miami,4441,53.3,3.26,Road,Route E,401.42,Pass,60899.479999999996,0.09608280254777071,496,149.76113022113023,99.91255525998977,22.729999999999997
Skincare,SKU-000034,95.92,1,201,19279.92,296,1.9,368,4.59,UPS,47.62,Supplier G,Atlanta,243,26.39,2.38,Road,Route E,496.18,Pass,19253.53,0.12905149051490514,-72,95.44514851485148,99.86312183867983,6.49
Cosmetics,SKU-000035,52.67,1,276,14536.92,716,8.53,166,14.08,USPS,56.08,Supplier C,Dallas,467,19.0,5.35,Road,Route B,289.04,Pass,14517.92,0.3358083832335329,550,52.47985559566787,99.86929831078385,22.61
Accessories,SKU-000036,95.96,0,156,14969.76,595,1.98,86,2.83,FedEx,68.04,Supplier H,Boston,1582,6.95,9.19,Road,Route E,357.25,Pass,14962.81,0.7820689655172415,509,95.3487898089172,99.95357306997573,4.8100000000000005
Cosmetics,SKU-000037,36.76,1,404,14851.04,548,26.5,539,12.16,USPS,79.48,Supplier D,Miami,715,66.31,6.86,Rail,Route C,156.79,Pass,14784.730000000001,0.1471851851851852,9,36.669234567901235,99.55349928355186,38.66
Accessories,SKU-000038,43.51,1,342,14880.42,178,8.06,141,8.11,Amazon Logistics,42.51,Supplier B,Chicago,3738,32.2,7.44,Sea,Route E,246.92,Pass,14848.22,0.2993661971830986,37,43.383148688046646,99.78360825836904,16.17
Skincare,SKU-000039,104.69,1,136,14237.84,721,17.16,359,11.5,DHL,66.37,Supplier E,New York,3428,8.14,8.34,Rail,Route A,435.24,Pass,14229.7,0.18436111111111111,362,103.9258394160584,99.94282840655605,28.66
Haircare,SKU-000040,89.6,0,55,4928.0,650,2.13,194,5.35,USPS,19.31,Supplier A,Dallas,3327,80.4,3.52,Road,Route D,125.34,Fail,4847.6,0.09902564102564101,456,88.0,98.3685064935065,7.4799999999999995
Fragrances,SKU-000041,183.82,0,54,9926.28,654,20.34,470,8.2,UPS,93.6,Supplier D,Miami,1688,103.6,0.63,Sea,Route C,169.49,Pass,9822.68,0.1987261146496815,184,180.4778181818182,98.95630588699895,28.54
Skincare,SKU-000042,78.85,1,10,788.5,376,10.37,576,13.0,UPS,41.39,Supplier C,Dallas,2589,17.43,6.23,Sea,Route C,250.45,Fail,771.07,0.07173310225303293,-200,71.68181818181819,97.78947368421053,23.369999999999997
Fragrances,SKU-000043,120.31,1,177,21294.87,802,27.04,155,7.54,USPS,74.3,Supplier F,San Francisco,3103,71.83,1.89,Air,Route D,370.51,Pass,21223.039999999997,0.47628205128205126,647,119.6341011235955,99.66268871329103,34.58
Haircare,SKU-000044,130.13,1,117,15225.21,884,26.76,35,6.04,DHL,6.93,Supplier B,Houston,798,112.83,5.69,Road,Route D,219.15,Fail,15112.38,0.1925,849,129.0272033898305,99.2589264778614,32.800000000000004
Haircare,SKU-000045,12.49,0,28,349.72,453,10.43,352,8.51,USPS,24.49,Supplier E,Miami,2923,147.94,7.4,Rail,Route C,467.48,Pass,201.78000000000003,0.06937677053824362,101,12.059310344827587,57.69758664074117,18.939999999999998
Skincare,SKU-000046,136.07,0,341,46399.87,678,27.13,214,11.04,DHL,51.27,Supplier D,Houston,1044,101.74,7.84,Air,Route D,92.51,Pass,46298.130000000005,0.23846511627906977,464,135.672134502924,99.78073214429266,38.17
Haircare,SKU-000047,43.83,1,81,3550.23,655,29.89,515,7.21,DHL,88.43,Supplier E,Los Angeles,3981,40.5,3.02,Sea,Route B,216.86,Pass,3509.73,0.17137596899224808,140,43.29548780487805,98.85922883869496,37.1
Accessories,SKU-000048,192.6,0,465,89559.0,724,24.94,28,14.14,Amazon Logistics,55.09,Supplier E,New York,1022,108.9,5.12,Rail,Route D,369.03,Pass,89450.1,1.8996551724137931,696,192.18669527896995,99.87840418048438,39.08
Haircare,SKU-000049,38.25,1,454,17365.5,660,25.5,353,5.13,UPS,93.34,Supplier H,Atlanta,1846,91.7,6.21,Road,Route A,151.69,Pass,17273.8,0.2636723163841808,307,38.16593406593407,99.47194149319051,30.63
Fragrances,SKU-000050,88.78,0,118,10476.04,674,8.22,352,7.66,UPS,50.96,Supplier G,Houston,4220,35.71,8.19,Rail,Route A,345.39,Pass,10440.330000000002,0.14436260623229463,322,88.03394957983194,99.65912692200489,15.88
Fragrances,SKU-000051,26.22,0,277,7262.94,408,17.72,346,11.6,DHL,51.59,Supplier F,Miami,2953,128.41,7.61,Rail,Route B,123.9,Pass,7134.53,0.1486743515850144,62,26.125683453237407,98.2319831913798,29.32
Fragrances,SKU-000052,199.41,1,454,90532.14,652,2.95,34,10.65,UPS,16.38,Supplier C,Seattle,1659,66.97,9.88,Rail,Route D,75.19,Pass,90465.17,0.46799999999999997,618,198.97173626373626,99.9260262708912,13.600000000000001
Fragrances,SKU-000053,105.42,1,249,26249.58,907,3.75,245,13.09,FedEx,81.25,Supplier H,Atlanta,1183,144.49,0.08,Air,Route A,104.46,Pass,26105.09,0.33028455284552843,662,104.99832,99.44955309761147,16.84
Accessories,SKU-000054,123.12,1,426,52449.12,767,29.97,444,14.96,DHL,28.46,Supplier D,Atlanta,3638,109.82,4.37,Sea,Route E,468.49,Fail,52339.3,0.06395505617977529,323,122.83166276346604,99.79061612473194,44.93
Cosmetics,SKU-000055,22.74,1,310,7049.4,66,10.47,427,6.98,UPS,90.46,Supplier B,Boston,533,98.46,2.56,Rail,Route D,298.29,Fail,6950.94,0.21135514018691587,-361,22.666881028938906,98.60328538599029,17.450000000000003
Skincare,SKU-000056,152.49,0,99,15096.51,323,22.7,132,2.56,FedEx,91.53,Supplier C,Houston,3026,110.61,1.2,Sea,Route B,408.36,Pass,14985.9,0.6881954887218045,191,150.9651,99.2673141010737,25.259999999999998
Fragrances,SKU-000057,49.88,0,112,5586.56,734,24.39,447,1.43,Amazon Logistics,94.61,Supplier B,Seattle,1189,74.32,9.12,Air,Route D,199.69,Fail,5512.240000000001,0.2111830357142857,287,49.438584070796466,98.66966433726658,25.82
Haircare,SKU-000058,180.63,0,485,87605.55,165,25.88,20,11.18,UPS,54.42,Supplier A,Houston,3057,78.26,9.98,Road,Route C,316.7,Pass,87527.29000000001,2.5914285714285716,145,180.25833333333333,99.9106677602047,37.06
Fragrances,SKU-000059,48.98,1,259,12685.82,910,29.93,285,13.24,FedEx,69.32,Supplier E,Boston,2712,128.43,1.81,Road,Route C,272.73,Pass,12557.39,0.24237762237762236,625,48.79161538461538,98.98760978793645,43.17
Haircare,SKU-000060,46.23,0,462,21358.26,742,8.0,510,4.09,USPS,78.96,Supplier A,New York,4291,103.73,0.38,Rail,Route A,475.58,Fail,21254.53,0.15452054794520548,232,46.130151187904964,99.51433309642265,12.09
Haircare,SKU-000061,16.94,1,17,287.98,140,2.17,227,3.22,USPS,17.45,Supplier G,Miami,3859,135.1,2.75,Air,Route C,386.41,Pass,152.88000000000002,0.07653508771929825,-87,15.99888888888889,53.08701993193973,5.390000000000001
Fragrances,SKU-000062,99.69,0,162,16149.78,131,12.92,388,1.87,FedEx,62.09,Supplier E,San Francisco,4363,134.17,8.35,Road,Route B,378.74,Pass,16015.61,0.15961439588688947,-257,99.07840490797547,99.16921468899267,14.79
Accessories,SKU-000063,117.32,1,356,41765.92,373,4.77,325,12.52,DHL,8.26,Supplier F,San Francisco,2189,146.59,2.94,Air,Route A,70.86,Fail,41619.33,0.025337423312883436,48,116.9913725490196,99.64902006229003,17.29
Haircare,SKU-000064,22.48,1,183,4113.84,163,1.65,31,5.36,DHL,52.27,Supplier C,Houston,2002,106.53,0.57,Air,Route B,297.35,Pass,4007.31,1.6334375,132,22.35782608695652,97.41044863193513,7.01
Haircare,SKU-000065,157.35,0,352,55387.2,818,11.45,364,6.62,UPS,19.71,Supplier B,Boston,2667,77.83,0.52,Rail,Route B,260.15,Pass,55309.369999999995,0.054,454,156.9042492917847,99.85948016870323,18.07
Fragrances,SKU-000066,96.12,1,167,16052.04,107,23.73,484,8.04,USPS,22.38,Supplier H,Dallas,2098,29.12,4.27,Rail,Route C,467.53,Pass,16022.92,0.04614432989690721,-377,95.54785714285715,99.8185900359082,31.77
Haircare,SKU-000067,109.63,1,440,48237.2,203,17.42,513,12.75,DHL,39.68,Supplier G,Miami,3214,107.28,9.32,Air,Route C,165.8,Pass,48129.92,0.07719844357976653,-310,109.3814058956916,99.77759903145291,30.17
Haircare,SKU-000068,93.74,0,224,20997.76,926,10.07,387,10.11,DHL,46.08,Supplier F,Houston,3094,47.28,2.86,Air,Route B,171.43,Pass,20950.48,0.11876288659793814,539,93.32337777777776,99.77483312505714,20.18
Fragrances,SKU-000069,86.14,1,186,16022.04,453,19.98,439,9.61,USPS,64.2,Supplier B,Dallas,2110,46.03,4.27,Rail,Route C,235.11,Pass,15976.01,0.1459090909090909,14,85.67935828877006,99.71270824439334,29.59
Fragrances,SKU-000070,116.33,1,184,21404.72,677,7.73,190,3.46,Amazon Logistics,12.07,Supplier C,Miami,4944,39.55,1.02,Air,Route C,159.52,Pass,21365.170000000002,0.06319371727748692,487,115.7011891891892,99.81522766941123,11.190000000000001
Skincare,SKU-000071,39.5,1,349,13785.5,904,1.42,153,8.18,DHL,52.85,Supplier D,Dallas,1991,131.89,4.94,Rail,Route C,108.13,Pass,13653.61,0.3431818181818182,751,39.387142857142855,99.04327010264409,9.6
Accessories,SKU-000072,44.57,0,347,15465.79,315,23.17,446,11.02,FedEx,22.35,Supplier G,Atlanta,930,130.85,6.97,Sea,Route D,435.84,Pass,15334.94,0.05,-131,44.44192528735633,99.15393911335923,34.19
Accessories,SKU-000073,173.74,0,155,26929.7,364,19.09,44,14.63,UPS,59.53,Supplier A,Houston,148,96.49,2.71,Air,Route B,301.22,Pass,26833.21,1.322888888888889,320,172.62628205128206,99.64169671403691,33.72
Haircare,SKU-000074,189.76,1,459,87099.84,764,23.11,549,3.82,DHL,65.55,Supplier A,Boston,4310,73.58,2.97,Rail,Route E,437.61,Pass,87026.26,0.11918181818181818,215,189.34747826086956,99.91552223287667,26.93
Accessories,SKU-000075,80.93,0,333,26949.69,90,2.13,209,1.13,DHL,57.89,Supplier H,Miami,1278,102.46,8.42,Air,Route B,424.01,Fail,26847.23,0.27566666666666667,-119,80.68769461077844,99.61981009800112,3.26
Haircare,SKU-000076,61.44,1,487,29921.28,154,25.28,160,2.05,Amazon Logistics,75.14,Supplier B,San Francisco,3133,93.05,0.1,Rail,Route A,176.92,Pass,29828.23,0.4667080745341615,-6,61.314098360655734,99.68901731476728,27.330000000000002
Skincare,SKU-000077,132.36,1,170,22501.2,950,18.97,574,6.26,FedEx,36.88,Supplier B,Houston,170,65.28,6.36,Air,Route C,296.48,Pass,22435.920000000002,0.06413913043478262,376,131.5859649122807,99.70988213961922,25.229999999999997
Fragrances,SKU-000078,87.66,1,136,11921.76,939,17.34,334,12.49,UPS,77.69,Supplier B,Miami,166,60.05,3.94,Road,Route C,87.45,Fail,11861.710000000001,0.23191044776119402,605,87.02014598540146,99.49629920414435,29.83
Fragrances,SKU-000079,14.82,1,429,6357.78,242,19.11,463,1.1,DHL,46.11,Supplier G,Miami,1877,60.51,2.98,Road,Route E,461.86,Fail,6297.2699999999995,0.099375,-221,14.78553488372093,99.0482526919774,20.21
Fragrances,SKU-000080,39.67,1,91,3609.97,450,26.07,338,7.39,UPS,51.0,Supplier C,Dallas,2328,90.42,6.58,Air,Route A,231.92,Pass,3519.5499999999997,0.1504424778761062,112,39.23880434782608,97.49527004379537,33.46
Accessories,SKU-000081,146.03,0,494,72138.82,327,18.02,460,5.61,USPS,66.57,Supplier D,Dallas,1889,98.91,8.35,Road,Route D,227.15,Fail,72039.91,0.14440347071583512,-133,145.7349898989899,99.86288935693707,23.63
Skincare,SKU-000082,135.2,1,156,21091.2,403,17.85,111,1.73,DHL,6.74,Supplier A,Seattle,712,70.5,5.58,Air,Route B,186.24,Pass,21020.7,0.06017857142857143,292,134.3388535031847,99.66573736913973,19.580000000000002
Accessories,SKU-000083,15.15,0,248,3757.2,798,29.73,198,7.3,DHL,67.13,Supplier F,Houston,1986,145.46,0.31,Air,Route D,257.3,Pass,3611.74,0.3373366834170854,600,15.089156626506023,96.12849994676887,37.03
Accessories,SKU-000084,52.17,0,421,21963.57,986,22.95,75,4.57,USPS,63.77,Supplier E,Los Angeles,1722,17.16,4.61,Sea,Route A,163.29,Pass,21946.41,0.8390789473684211,911,52.04637440758294,99.92187062485743,27.52
Skincare,SKU-000085,53.9,1,433,23338.7,782,13.83,174,5.93,Amazon Logistics,34.44,Supplier G,Chicago,796,55.32,4.63,Sea,Route E,218.68,Pass,23283.38,0.19679999999999997,608,53.77580645161291,99.76296880288962,19.759999999999998
Skincare,SKU-000086,137.66,1,93,12802.38,629,21.51,130,10.88,DHL,13.15,Supplier G,Los Angeles,1337,65.77,5.44,Road,Route A,409.98,Pass,12736.609999999999,0.10038167938931299,499,136.19553191489362,99.48626739715584,32.39
Skincare,SKU-000087,13.75,0,122,1677.5,758,12.29,156,8.3,UPS,13.64,Supplier C,Miami,2506,7.45,6.71,Sea,Route E,425.41,Pass,1670.05,0.08687898089171975,602,13.638211382113822,99.5558867362146,20.59
Skincare,SKU-000088,29.78,0,234,6968.52,305,7.64,251,2.75,FedEx,92.71,Supplier A,Seattle,348,57.92,0.19,Sea,Route D,186.88,Pass,6910.6,0.3678968253968254,54,29.653276595744682,99.16883355432718,10.39
Fragrances,SKU-000089,161.98,0,341,55235.18,700,18.31,487,14.46,UPS,70.48,Supplier H,Miami,737,44.69,5.02,Air,Route D,261.06,Pass,55190.49,0.14442622950819672,213,161.50637426900585,99.91909141963508,32.769999999999996
Cosmetics,SKU-000090,43.92,1,387,16997.04,873,27.92,500,9.9,Amazon Logistics,17.07,Supplier D,Los Angeles,1049,78.38,5.88,Rail,Route A,443.22,Pass,16918.66,0.03407185628742515,373,43.806804123711345,99.53886088401273,37.82
Cosmetics,SKU-000091,134.02,0,252,33773.04,996,27.95,87,11.72,FedEx,38.89,Supplier C,Miami,2004,53.78,3.43,Air,Route A,73.7,Pass,33719.26,0.4419318181818182,909,133.4902766798419,99.84076055931004,39.67
Skincare,SKU-000092,55.25,1,152,8398.0,710,10.92,268,2.11,UPS,61.29,Supplier F,Dallas,3687,110.3,6.68,Sea,Route C,450.12,Fail,8287.7,0.22784386617100372,442,54.888888888888886,98.68659204572519,13.03
Cosmetics,SKU-000093,28.89,1,50,1444.5,148,16.3,342,1.66,UPS,84.38,Supplier A,Houston,1211,78.94,2.28,Air,Route E,148.63,Fail,1365.56,0.24600583090379008,-194,28.323529411764707,94.53513326410523,17.96
Cosmetics,SKU-000094,56.2,1,432,24278.4,637,7.14,537,1.27,USPS,9.15,Supplier C,San Francisco,275,23.82,3.17,Road,Route C,355.34,Fail,24254.58,0.01700743494423792,100,56.070207852193995,99.90188809806247,8.41
Skincare,SKU-000095,147.23,0,267,39310.41,331,29.87,451,3.64,Amazon Logistics,27.48,Supplier A,Los Angeles,822,113.76,9.63,Rail,Route B,312.15,Fail,39196.65,0.060796460176991154,-120,146.68063432835822,99.71061100609228,33.51
Cosmetics,SKU-000096,172.58,1,456,78696.48,932,29.45,506,6.8,USPS,89.53,Supplier A,Chicago,3942,19.39,3.48,Sea,Route B,298.82,Fail,78677.09,0.17658777120315583,426,172.20236323851202,99.97536103266627,36.25
Accessories,SKU-000097,167.74,1,294,49315.56,452,19.84,448,14.1,FedEx,5.87,Supplier H,Chicago,3774,126.66,3.47,Sea,Route A,436.71,Pass,49188.899999999994,0.013073496659242761,4,167.17138983050847,99.7431642264632,33.94
Haircare,SKU-000098,85.46,1,114,9742.44,158,24.33,288,7.4,USPS,24.13,Supplier G,Dallas,4966,140.06,5.96,Air,Route D,95.71,Pass,9602.380000000001,0.0834948096885813,-130,84.7168695652174,98.56237246521405,31.729999999999997
Haircare,SKU-000099,136.94,1,211,28894.34,749,21.74,556,5.06,Amazon Logistics,96.11,Supplier D,Houston,2047,51.75,9.71,Air,Route B,206.16,Fail,28842.59,0.17254937163375225,193,136.29405660377358,99.8208991795625,26.799999999999997
Skincare,SKU-000100,48.95,1,459,22468.05,248,18.2,167,8.87,DHL,63.27,Supplier G,New York,802,139.29,9.83,Air,Route B,292.21,Pass,22328.76,0.37660714285714286,81,48.84358695652174,99.38005300860556,27.07
Fragrances,SKU-000101,65.7,0,316,20761.2,352,2.55,137,2.57,DHL,29.86,Supplier E,New York,2228,119.99,5.8,Air,Route C,415.08,Pass,20641.21,0.21637681159420288,215,65.49274447949527,99.42204689516983,5.119999999999999
Skincare,SKU-000102,180.3,1,340,61302.0,376,14.19,386,9.53,FedEx,11.36,Supplier D,Boston,1026,138.75,0.01,Sea,Route C,147.4,Pass,61163.25,0.029354005167958656,-10,179.77126099706746,99.77366154448468,23.72
Fragrances,SKU-000103,12.47,1,470,5860.9,203,20.57,85,8.96,DHL,7.68,Supplier A,Boston,4333,101.61,9.01,Air,Route B,411.32,Pass,5759.29,0.08930232558139535,118,12.44352441613588,98.26630722244025,29.53
Haircare,SKU-000104,26.25,0,275,7218.75,601,20.65,389,12.09,USPS,28.25,Supplier C,Los Angeles,3604,39.17,5.7,Sea,Route A,229.84,Pass,7179.58,0.07243589743589744,212,26.154891304347824,99.45738528138529,32.739999999999995
Skincare,SKU-000105,49.5,1,407,20146.5,694,11.82,194,14.81,FedEx,88.74,Supplier F,Dallas,2617,134.71,3.66,Air,Route C,135.01,Pass,20011.79,0.45507692307692305,500,49.37867647058823,99.33134787680243,26.630000000000003
Accessories,SKU-000106,15.04,0,219,3293.76,454,28.31,514,4.51,Amazon Logistics,44.51,Supplier H,Dallas,2497,31.72,8.29,Rail,Route B,391.54,Pass,3262.0400000000004,0.08642718446601941,-60,14.971636363636364,99.03696687068883,32.82
Cosmetics,SKU-000107,44.47,1,60,2668.2,511,5.85,133,8.14,FedEx,73.43,Supplier D,Miami,1249,35.89,4.0,Rail,Route D,90.9,Fail,2632.31,0.5479850746268657,378,43.74098360655737,98.65489843340079,13.99
Fragrances,SKU-000108,120.78,0,127,15339.06,181,15.51,130,13.72,FedEx,92.24,Supplier E,Chicago,3480,44.3,0.34,Air,Route C,281.65,Pass,15294.76,0.7041221374045801,51,119.83640625,99.71119481897847,29.23
Cosmetics,SKU-000109,90.07,0,210,18914.7,840,21.04,458,11.99,UPS,43.76,Supplier A,Chicago,1978,49.12,8.21,Air,Route B,78.74,Pass,18865.58,0.09533769063180828,382,89.64312796208532,99.74030780292577,33.03
Cosmetics,SKU-000110,179.61,1,386,69329.46,923,21.22,166,7.82,UPS,23.17,Supplier F,Chicago,1353,79.6,5.46,Road,Route E,210.39,Pass,69249.86,0.13874251497005988,757,179.14589147286824,99.88518589355809,29.04
Skincare,SKU-000111,165.31,1,48,7934.88,133,19.81,54,14.24,FedEx,54.13,Supplier D,Seattle,1583,108.45,3.38,Rail,Route C,320.48,Pass,7826.43,0.9841818181818183,79,161.93632653061223,98.63324965216866,34.05
Cosmetics,SKU-000112,74.95,1,37,2773.15,448,8.98,328,1.8,DHL,91.27,Supplier G,Houston,409,139.3,2.51,Sea,Route E,300.25,Fail,2633.85,0.2774164133738602,120,72.97763157894737,94.97683140111425,10.780000000000001
